article_id,article_published_at,abs_change_1day_after_pct,abs_change_1week_after_pct,consolidated_event_type,consolidated_factor_name,factor_magnitude,causal_certainty
article_0,2023-01-01T14:30:00Z,-5.0,-2.5,product_announcement,revenue_growth,0.1,0.5
article_1,2023-01-02T14:30:00Z,-4.9,-2.45,product_announcement,revenue_growth,0.11,0.505
article_2,2023-01-03T14:30:00Z,-4.8,-2.4,product_announcement,revenue_growth,0.12,0.51
article_3,2023-01-04T14:30:00Z,-4.7,-2.35,product_announcement,revenue_growth,0.13,0.515
article_4,2023-01-05T14:30:00Z,-4.6,-2.3,product_announcement,revenue_growth,0.14,0.52
article_5,2023-01-06T14:30:00Z,-4.5,-2.25,product_announcement,revenue_growth,0.15,0.525
article_6,2023-01-07T14:30:00Z,-4.4,-2.2,product_announcement,revenue_growth,0.16,0.53
article_7,2023-01-08T14:30:00Z,-4.3,-2.15,product_announcement,revenue_growth,0.17,0.535
article_8,2023-01-09T14:30:00Z,-4.2,-2.1,product_announcement,revenue_growth,0.18,0.54
article_9,2023-01-10T14:30:00Z,-4.1,-2.05,product_announcement,revenue_growth,0.19,0.545
article_10,2023-01-11T14:30:00Z,-4.0,-2.0,product_announcement,revenue_growth,0.2,0.55
article_11,2023-01-12T14:30:00Z,-3.9,-1.95,product_announcement,revenue_growth,0.21,0.555
article_12,2023-01-13T14:30:00Z,-3.8,-1.9,product_announcement,revenue_growth,0.22,0.56
article_13,2023-01-14T14:30:00Z,-3.7,-1.85,product_announcement,revenue_growth,0.23,0.565
article_14,2023-01-15T14:30:00Z,-3.6,-1.8,product_announcement,revenue_growth,0.24,0.57
article_15,2023-01-16T14:30:00Z,-3.5,-1.75,product_announcement,revenue_growth,0.25,0.575
article_16,2023-01-17T14:30:00Z,-3.4,-1.7,product_announcement,revenue_growth,0.26,0.58
article_17,2023-01-18T14:30:00Z,-3.3,-1.65,product_announcement,revenue_growth,0.27,0.585
article_18,2023-01-19T14:30:00Z,-3.2,-1.6,product_announcement,revenue_growth,0.28,0.59
article_19,2023-01-20T14:30:00Z,-3.1,-1.55,product_announcement,revenue_growth,0.29,0.595
article_20,2023-01-21T14:30:00Z,-3.0,-1.5,product_announcement,revenue_growth,0.3,0.6
article_21,2023-01-22T14:30:00Z,-2.9,-1.45,product_announcement,revenue_growth,0.31,0.605
article_22,2023-01-23T14:30:00Z,-2.8,-1.4,product_announcement,revenue_growth,0.32,0.61
article_23,2023-01-24T14:30:00Z,-2.7,-1.35,product_announcement,revenue_growth,0.33,0.615
article_24,2023-01-25T14:30:00Z,-2.6,-1.3,product_announcement,revenue_growth,0.34,0.62
article_25,2023-01-26T14:30:00Z,-2.5,-1.25,product_announcement,revenue_growth,0.35,0.625
article_26,2023-01-27T14:30:00Z,-2.4,-1.2,product_announcement,revenue_growth,0.36,0.63
article_27,2023-01-28T14:30:00Z,-2.3,-1.15,product_announcement,revenue_growth,0.37,0.635
article_28,2023-01-29T14:30:00Z,-2.2,-1.1,product_announcement,revenue_growth,0.38,0.64
article_29,2023-01-30T14:30:00Z,-2.1,-1.05,product_announcement,revenue_growth,0.39,0.645
article_30,2023-01-01T14:30:00Z,-2.0,-1.0,product_announcement,market_expansion,0.4,0.65
article_31,2023-01-02T14:30:00Z,-1.9,-0.95,product_announcement,market_expansion,0.41,0.655
article_32,2023-01-03T14:30:00Z,-1.8,-0.9,product_announcement,market_expansion,0.42,0.66
article_33,2023-01-04T14:30:00Z,-1.7,-0.85,product_announcement,market_expansion,0.43,0.665
article_34,2023-01-05T14:30:00Z,-1.6,-0.8,product_announcement,market_expansion,0.44,0.67
article_35,2023-01-06T14:30:00Z,-1.5,-0.75,product_announcement,market_expansion,0.45,0.675
article_36,2023-01-07T14:30:00Z,-1.4,-0.7,product_announcement,market_expansion,0.46,0.68
article_37,2023-01-08T14:30:00Z,-1.3,-0.65,product_announcement,market_expansion,0.47,0.685
article_38,2023-01-09T14:30:00Z,-1.2,-0.6,product_announcement,market_expansion,0.48,0.69
article_39,2023-01-10T14:30:00Z,-1.1,-0.55,product_announcement,market_expansion,0.49,0.695
article_40,2023-01-11T14:30:00Z,-1.0,-0.5,product_announcement,market_expansion,0.5,0.7
article_41,2023-01-12T14:30:00Z,-0.9,-0.45,product_announcement,market_expansion,0.51,0.705
article_42,2023-01-13T14:30:00Z,-0.8,-0.4,product_announcement,market_expansion,0.52,0.71
article_43,2023-01-14T14:30:00Z,-0.7,-0.35,product_announcement,market_expansion,0.53,0.715
article_44,2023-01-15T14:30:00Z,-0.6,-0.3,product_announcement,market_expansion,0.54,0.72
article_45,2023-01-16T14:30:00Z,-0.5,-0.25,product_announcement,market_expansion,0.55,0.725
article_46,2023-01-17T14:30:00Z,-0.4,-0.2,product_announcement,market_expansion,0.56,0.73
article_47,2023-01-18T14:30:00Z,-0.3,-0.15,product_announcement,market_expansion,0.57,0.735
article_48,2023-01-19T14:30:00Z,-0.2,-0.1,product_announcement,market_expansion,0.58,0.74
article_49,2023-01-20T14:30:00Z,-0.1,-0.05,product_announcement,market_expansion,0.59,0.745
article_50,2023-01-21T14:30:00Z,0.0,0.0,earnings_report,market_expansion,0.6,0.75
article_51,2023-01-22T14:30:00Z,0.1,0.05,earnings_report,market_expansion,0.61,0.755
article_52,2023-01-23T14:30:00Z,0.2,0.1,earnings_report,market_expansion,0.62,0.76
article_53,2023-01-24T14:30:00Z,0.3,0.15,earnings_report,market_expansion,0.63,0.765
article_54,2023-01-25T14:30:00Z,0.4,0.2,earnings_report,market_expansion,0.64,0.77
article_55,2023-01-26T14:30:00Z,0.5,0.25,earnings_report,market_expansion,0.65,0.775
article_56,2023-01-27T14:30:00Z,0.6,0.3,earnings_report,market_expansion,0.66,0.78
article_57,2023-01-28T14:30:00Z,0.7,0.35,earnings_report,market_expansion,0.67,0.785
article_58,2023-01-29T14:30:00Z,0.8,0.4,earnings_report,market_expansion,0.68,0.79
article_59,2023-01-30T14:30:00Z,0.9,0.45,earnings_report,market_expansion,0.69,0.795
article_60,2023-01-01T14:30:00Z,1.0,0.5,earnings_report,cost_reduction,0.7,0.8
article_61,2023-01-02T14:30:00Z,1.1,0.55,earnings_report,cost_reduction,0.71,0.805
article_62,2023-01-03T14:30:00Z,1.2,0.6,earnings_report,cost_reduction,0.72,0.81
article_63,2023-01-04T14:30:00Z,1.3,0.65,earnings_report,cost_reduction,0.73,0.815
article_64,2023-01-05T14:30:00Z,1.4,0.7,earnings_report,cost_reduction,0.74,0.82
article_65,2023-01-06T14:30:00Z,1.5,0.75,earnings_report,cost_reduction,0.75,0.825
article_66,2023-01-07T14:30:00Z,1.6,0.8,earnings_report,cost_reduction,0.76,0.83
article_67,2023-01-08T14:30:00Z,1.7,0.85,earnings_report,cost_reduction,0.77,0.835
article_68,2023-01-09T14:30:00Z,1.8,0.9,earnings_report,cost_reduction,0.78,0.84
article_69,2023-01-10T14:30:00Z,1.9,0.95,earnings_report,cost_reduction,0.79,0.845
article_70,2023-01-11T14:30:00Z,2.0,1.0,earnings_report,cost_reduction,0.8,0.85
article_71,2023-01-12T14:30:00Z,2.1,1.05,earnings_report,cost_reduction,0.81,0.855
article_72,2023-01-13T14:30:00Z,2.2,1.1,earnings_report,cost_reduction,0.82,0.86
article_73,2023-01-14T14:30:00Z,2.3,1.15,earnings_report,cost_reduction,0.83,0.865
article_74,2023-01-15T14:30:00Z,2.4,1.2,earnings_report,cost_reduction,0.84,0.87
article_75,2023-01-16T14:30:00Z,2.5,1.25,earnings_report,cost_reduction,0.85,0.875
article_76,2023-01-17T14:30:00Z,2.6,1.3,earnings_report,cost_reduction,0.86,0.88
article_77,2023-01-18T14:30:00Z,2.7,1.35,earnings_report,cost_reduction,0.87,0.885
article_78,2023-01-19T14:30:00Z,2.8,1.4,earnings_report,cost_reduction,0.88,0.89
article_79,2023-01-20T14:30:00Z,2.9,1.45,earnings_report,cost_reduction,0.89,0.895
article_80,2023-01-21T14:30:00Z,3.0,1.5,earnings_report,cost_reduction,0.9,0.9
article_81,2023-01-22T14:30:00Z,3.1,1.55,earnings_report,cost_reduction,0.91,0.905
article_82,2023-01-23T14:30:00Z,3.2,1.6,earnings_report,cost_reduction,0.92,0.91
article_83,2023-01-24T14:30:00Z,3.3,1.65,earnings_report,cost_reduction,0.93,0.915
article_84,2023-01-25T14:30:00Z,3.4,1.7,earnings_report,cost_reduction,0.94,0.92
article_85,2023-01-26T14:30:00Z,3.5,1.75,earnings_report,cost_reduction,0.95,0.925
article_86,2023-01-27T14:30:00Z,3.6,1.8,earnings_report,cost_reduction,0.96,0.93
article_87,2023-01-28T14:30:00Z,3.7,1.85,earnings_report,cost_reduction,0.97,0.935
article_88,2023-01-29T14:30:00Z,3.8,1.9,earnings_report,cost_reduction,0.98,0.94
article_89,2023-01-30T14:30:00Z,3.9,1.95,earnings_report,cost_reduction,0.99,0.945
article_90,2023-01-01T14:30:00Z,4.0,2.0,earnings_report,cost_reduction,1.0,0.95
article_91,2023-01-02T14:30:00Z,4.1,2.05,earnings_report,cost_reduction,1.01,0.955
article_92,2023-01-03T14:30:00Z,4.2,2.1,earnings_report,cost_reduction,1.02,0.96
article_93,2023-01-04T14:30:00Z,4.3,2.15,earnings_report,cost_reduction,1.03,0.965
article_94,2023-01-05T14:30:00Z,4.4,2.2,earnings_report,cost_reduction,1.04,0.97
article_95,2023-01-06T14:30:00Z,4.5,2.25,earnings_report,cost_reduction,1.05,0.975
article_96,2023-01-07T14:30:00Z,4.6,2.3,earnings_report,cost_reduction,1.06,0.98
article_97,2023-01-08T14:30:00Z,4.7,2.35,earnings_report,cost_reduction,1.07,0.985
article_98,2023-01-09T14:30:00Z,4.8,2.4,earnings_report,cost_reduction,1.08,0.99
article_99,2023-01-10T14:30:00Z,4.9,2.45,earnings_report,cost_reduction,1.09,0.995
